ITTER107;Territorio;popolazione residente 2020
60010;Arpino;6898
60012;Ausonia;2441
56010;Calcata;894
60029;Colle San Magno;650
60028;Collepardo;903
57022;Colli sul Velino;465
58035;Colonna;4224
57023;Concerviano;282
56025;Faleria;1984
57030;Frasso Sabino;727
60042;Guarcino;1520
57043;Monte San Giovanni in Sabina;648
56039;Nepi;9185
57047;Orvinio;390
60049;Pescosolido;1445
60068;Sant'Elia Fiumerapido;5733
58099;Sant'Oreste;3504
60072;Settefrati;711
59030;Sperlonga;3116
58107;Trevignano Romano;5696
60081;Trivigliano;1619
60084;Vallerotonda;1405
60018;Casalvieri;2383
60020;Castelliri;3256
60019;Cassino;35418
56040;Onano;944
60004;Alvito;2526
58012;Bellegra;2727
58024;Castelnuovo di Porto;8423
58052;Magliano Romano;1423
58002;Agosta;1703
58008;Arcinazzo Romano;1262
58009;Ariccia;18307
58017;Canterano;349
60027;Colfelice;1822
56046;Villa San Giovanni in Tuscia;1213
58067;Moricone;2480
60007;Aquino;4992
58034;Colleferro;20698
57041;Monteleone Sabino;1184
58018;Capena;10695
58116;Ladispoli;40160
60058;Ripi;5093
57001;Accumoli;555
60006;Anagni;20853
60011;Atina;4139
60047;Pastena;1265
56013;Capodimonte;1647
60057;Posta Fibreno;1077
60055;Pofi;3951
57020;Collegiove;135
56028;Gradoli;1276
57057;Posta;589
60062;San Donato Val di Comino;1886
56027;Gallese;2649
56043;Piansano;1922
60060;Roccasecca;7016
60085;Veroli;19868
57004;Ascrea;213
56017;Castel Sant'Elia;2477
58075;Palombara Sabina;12835
56049;Sutri;6539
57027;Fara in Sabina;13738
57058;Pozzaglia Sabina;315
56052;Tuscania;8168
60087;Vico nel Lazio;2110
60001;Acquafondata;280
56006;Bassano in Teverina;1251
58016;Canale Monterano;4128
56014;Capranica;6357
60064;San Giovanni Incarico;3146
56047;San Lorenzo Nuovo;1995
59027;Sermoneta;9977
57056;Poggio San Lorenzo;522
59020;Prossedi;1167
58104;Tivoli;55150
58020;Carpineto Romano;4141
56003;Bagnoregio;3501
57021;Collevecchio;1507
60033;Ferentino;20247
59015;Monte San Biagio;6159
56038;Monterosi;4729
57006;Borbona;589
58046;Grottaferrata;20337
60025;Ceprano;8408
59007;Fondi;39237
58022;Castel Gandolfo;8585
58019;Capranica Prenestina;316
59011;Latina;127560
57008;Borgo Velino;934
57009;Cantalice;2481
60074;Sora;25133
60083;Vallemaio;902
56035;Montalto di Castro;8770
56037;Monte Romano;1914
60082;Vallecorsa;2454
58041;Gavignano;1920
58028;Cervara di Roma;442
58058;Mazzano Romano;2995
58066;Montorio Romano;1992
58077;Pisoniano;739
58084;Rocca Canterano;184
58087;Roccagiovine;251
58102;Segni;8985
60075;Strangolagalli;2316
58011;Artena;13664
57034;Longone Sabino;553
58122;Fonte Nuova;32139
60041;Giuliano di Roma;2358
57068;Toffia;1057
57007;Borgorose;4260
57017;Cittareale;415
58073;Olevano Romano;6455
60032;Falvaterra;540
57054;Poggio Moiano;2763
57005;Belmonte in Sabina;637
60067;Sant'Apollinare;1834
57046;Nespolo;191
59018;Ponza;3301
59019;Priverno;13763
58101;Saracinesco;171
58030;Ciciliano;1259
57035;Magliano Sabina;3527
56021;Civita Castellana;15455
57033;Leonessa;2141
57045;Morro Reatino;344
60065;Sant'Ambrogio sul Garigliano;906
57066;Stimigliano;2211
60059;Rocca d'Arce;921
58025;Castel San Pietro Romano;839
58086;Rocca di Papa;16999
60071;Serrone;2982
56055;Vasanello;3953
57018;Collalto Sabino;395
58054;Manziana;7655
56036;Montefiascone;13005
58061;Monteflavio;1214
57052;Poggio Catino;1240
58100;San Vito Romano;3125
58036;Fiano Romano;15722
59014;Minturno;19971
57070;Torri in Sabina;1196
56029;Graffignano;2151
58095;San Gregorio da Sassola;1454
56050;Tarquinia;16153
60014;Boville Ernica;8425
57038;Mompeo;494
57039;Montasola;382
56041;Oriolo Romano;3708
60046;Paliano;7975
60063;San Giorgio a Liri;3005
57025;Contigliano;3772
60040;Gallinaro;1192
58048;Jenne;355
58060;Monte Compatri;11844
60070;San Vittore del Lazio;2505
60003;Alatri;27768
58118;Ciampino;38675
58092;Roviano;1258
58079;Pomezia;63767
60076;Supino;4678
56015;Caprarola;5265
60045;Morolo;3172
59021;Roccagorga;4199
60002;Acuto;1883
58117;Ardea;48667
58021;Casape;662
60026;Cervaro;7794
60030;Coreno Ausonio;1531
56032;Latera;775
60078;Torre Cajetani;1310
56018;Castiglione in Teverina;2280
56022;Civitella d'Agliano;1500
57051;Poggio Bustone;1986
57014;Castelnuovo di Farfa;994
58042;Genazzano;5724
58070;Nemi;1872
59033;Ventotene;736
58023;Castel Madama;7133
56031;Ischia di Castro;2205
58080;Ponzano Romano;1117
57026;Cottanello;531
56011;Canepina;2945
57040;Montebuono;872
57048;Paganico Sabino;155
58076;Percile;217
58013;Bracciano;18560
57028;Fiamignano;1215
60079;Torrice;4772
60088;Villa Latina;1146
60008;Arce;5403
58064;Monte Porzio Catone;8557
60090;Villa Santo Stefano;1649
58010;Arsoli;1402
56009;Bomarzo;1684
58014;Camerata Nuova;403
56016;Carbognano;1932
60023;Castro dei Volsci;4483
58026;Cave;10728
58033;Civitella San Paolo;1993
58037;Filacciano;457
58038;Formello;13249
58043;Genzano di Roma;23221
58115;Lariano;13191
56034;Marta;3283
58068;Morlupo;8424
58081;Riano;10274
59023;Roccasecca dei Volsci;1057
57063;Salisano;514
57067;Tarano;1382
60077;Terelle;311
58105;Tolfa;4828
56058;Vignanello;4325
58113;Vivaro Romano;165
56008;Bolsena;3757
57037;Micigliano;114
57042;Montenero Sabino;278
56042;Orte;9081
58083;Riofreddo;733
59028;Sezze;23576
58103;Subiaco;8515
57064;Scandriglia;3138
57036;Marcetelli;76
60005;Amaseno;4102
57015;Castel Sant'Angelo;1209
57031;Greccio;1492
60053;Piglio;4386
58110;Valmontone;15662
58094;Sambuci;851
56051;Tessennano;296
56020;Cellere;1076
60031;Esperia;3649
59013;Maenza;2996
57044;Montopoli di Sabina;4081
59016;Norma;3708
57049;Pescorocchiano;1925
58112;Vicovaro;3676
57071;Turania;228
57072;Vacone;226
59009;Gaeta;19755
58074;Palestrina;21921
58108;Vallepietra;251
58001;Affile;1439
57002;Amatrice;2320
56007;Blera;3035
56012;Canino;5122
57010;Cantalupo in Sabina;1634
58027;Cerreto Laziale;1080
57016;Cittaducale;6503
58032;Civitavecchia;52069
57019;Colle di Tora;359
56024;Fabrica di Roma;8094
60034;Filettino;507
58120;Fiumicino;79995
60036;Fontana Liri;2757
58039;Frascati;22624
56030;Grotte di Castro;2450
59010;Itri;10344
58050;Lanuvio;12851
56033;Lubriano;890
58053;Mandela;921
58062;Montelanico;2062
58071;Nerola;1900
60048;Patrica;3090
60050;Picinisco;1096
60051;Pico;2683
60054;Pignataro Interamna;2403
57055;Poggio Nativo;2513
59017;Pontinia;14849
58088;Rocca Priora;11978
60061;San Biagio Saracinisco;308
60066;Sant'Andrea del Garigliano;1303
59026;Santi Cosma e Damiano;6813
60080;Trevi nel Lazio;1741
56054;Vallerano;2445
56056;Vejano;2157
60086;Vicalvi;743
57003;Antrodoco;2371
59002;Bassiano;1439
58015;Campagnano di Roma;10990
60016;Campoli Appennino;1596
57011;Casaprota;699
60021;Castelnuovo Parano;875
58031;Cineto Romano;584
59005;Cisterna di Latina;36481
58049;Labico;6333
58059;Mentana;22612
58063;Montelibretti;5107
57060;Rivodutri;1138
59022;Rocca Massima;1088
59029;Sonnino;7433
56048;Soriano nel Cimino;7992
59031;Spigno Saturnia;2851
59032;Terracina;44495
58109;Vallinfreda;290
60038;Frosinone;44491
56004;Barbarano Romano;1004
57013;Castel di Tora;267
60037;Fontechiari;1246
58005;Anguillara Sabazia;19018
58003;Albano Laziale;39672
60015;Broccostella;2688
56019;Celleno;1304
58078;Poli;2275
59025;San Felice Circeo;10129
58055;Marano Equo;792
58065;Monterotondo;41258
56044;Proceno;522
58082;Rignano Flaminio;10005
56005;Bassano Romano;4578
57024;Configni;583
60035;Fiuggi;10119
58051;Licenza;880
58111;Velletri;52312
58056;Marcellina;7095
58089;Rocca Santo Stefano;951
58093;Sacrofano;7231
60073;Sgurgola;2411
58097;Santa Marinella;18516
58091;Roma;2770226
58045;Gorga;698
58057;Marino;45321
60091;Viticuso;303
58029;Cerveteri;37504
56026;Farnese;1385
60044;Monte San Giovanni Campano;12228
60017;Casalattico;535
60056;Pontecorvo;12470
60089;Villa Santa Lucia;2547
57059;Rieti;45907
58072;Nettuno;48500
59024;Sabaudia;19938
57065;Selci;1081
57012;Casperia;1210
58047;Guidonia Montecelio;87875
60043;Isola del Liri;10945
60069;Santopadre;1225
57050;Petrella Salto;1055
57053;Poggio Mirteto;6152
56045;Ronciglione;8343
60013;Belmonte Castello;692
59003;Campodimele;587
60052;Piedimonte San Germano;6336
56053;Valentano;2722
57073;Varco Sabino;177
59006;Cori;10482
58044;Gerano;1163
56059;Viterbo;66113
56001;Acquapendente;5346
59012;Lenola;4075
58114;Zagarolo;18010
57062;Rocca Sinibalda;783
58040;Gallicano nel Lazio;6408
57032;Labro;375
58085;Rocca di Cave;355
59004;Castelforte;4172
59008;Formia;37341
58119;San Cesareo;15714
58069;Nazzano;1339
57069;Torricella in Sabina;1364
58106;Torrita Tiberina;1047
60009;Arnara;2222
60022;Castrocielo;3841
60024;Ceccano;22610
58090;Roiate;663
56057;Vetralla;13446
58007;Anzio;57838
57061;Roccantica;552
56060;Vitorchiano;5234
58004;Allumiere;3831
58006;Anticoli Corrado;825
59001;Aprilia;73429
56002;Arlena di Castro;830
56023;Corchiano;3574
57029;Forano;3024
60039;Fumone;2002
58096;San Polo dei Cavalieri;2762
58098;Sant'Angelo Romano;4833
55005;Arrone;2558
55007;Baschi;2657
55011;Fabro;2648
54002;Bastia Umbra;21379
55009;Castel Giorgio;2037
54025;Lisciano Niccone;590
54040;Piegaro;3419
54023;Gualdo Tadino;14408
55006;Attigliano;1950
54011;Citerna;3419
54039;Perugia;164721
54016;Costacciaro;1119
55001;Acquasparta;4456
54015;Corciano;21391
55020;Montegabbione;1118
54034;Nocera Umbra;5601
55016;Lugnano in Teverina;1429
54056;Umbertide;16367
54042;Poggiodomo;94
54006;Cannara;4256
54003;Bettona;4297
54013;Città di Castello;38657
54049;Sigillo;2319
55008;Calvi dell'Umbria;1693
54031;Monteleone di Spoleto;574
55002;Allerona;1686
54014;Collazzone;3400
54046;Scheggia e Pascelupo;1315
54058;Vallo di Nera;350
54059;Valtopina;1296
54057;Valfabbrica;3253
55032;Terni;107982
54037;Panicale;5421
55022;Narni;18405
54054;Trevi;8130
55033;Avigliano Umbro;2405
54033;Montone;1603
54010;Cerreto di Spoleto;1014
54043;Preci;700
55025;Parrano;498
55013;Ficulle;1583
54007;Cascia;2977
55018;Montecchio;1592
54036;Paciano;950
55030;San Venanzo;2157
54001;Assisi;28004
54017;Deruta;9478
54021;Giano dell'Umbria;3756
54022;Gualdo Cattaneo;5759
54026;Magione;14612
55019;Montefranco;1256
55023;Orvieto;19931
54041;Pietralunga;1995
54048;Sellano;1003
55021;Monteleone d'Orvieto;1376
54004;Bevagna;4833
54035;Norcia;4617
54038;Passignano sul Trasimeno;5651
55028;Porano;1913
54044;San Giustino;10975
55031;Stroncone;4685
54052;Todi;15877
54053;Torgiano;6644
54055;Tuoro sul Trasimeno;3738
55010;Castel Viscardo;2758
55015;Guardea;1749
54024;Gubbio;30923
54027;Marsciano;18201
55004;Amelia;11682
55003;Alviano;1403
54019;Fossato di Vico;2650
55014;Giove;1857
54030;Montefalco;5461
54009;Castiglione del Lago;15160
54032;Monte Santa Maria Tiberina;1120
55026;Penna in Teverina;1051
54047;Scheggino;463
54045;Sant'Anatolia di Narco;526
54020;Fratta Todina;1823
55017;Montecastrilli;4821
54018;Foligno;55831
55012;Ferentillo;1820
54008;Castel Ritaldi;3072
55024;Otricoli;1735
55027;Polino;219
54050;Spello;8371
54005;Campello sul Clitunno;2361
54029;Monte Castello di Vibio;1455
54012;Città della Pieve;7571
54051;Spoleto;36914
54028;Massa Martana;3642
55029;San Gemini;4836
42011;Castelleone di Suasa;1597
43013;Civitanova Marche;41894
41018;Frontone;1222
41023;Macerata Feltria;1904
109013;Montappone;1608
41031;Monte Cerignone;636
43031;Monte San Giusto;7543
43029;Montefano;3315
109015;Montefortino;1088
43030;Montelupone;3436
44056;Palmiano;165
44063;Ripatransone;4061
43050;Sefro;416
42048;Sirolo;4069
43054;Treia;9123
43011;Cessapalombo;443
42005;Belvedere Ostrense;2133
43016;Esanatoglia;1917
41016;Fratte Rosa;882
41013;Fano;60136
44032;Montalto delle Marche;1964
109037;Sant'Elpidio a Mare;16773
43051;Serrapetrona;910
109011;Massa Fermana;898
42033;Offagna;2051
41058;Sant'Ippolito;1463
43006;Caldarola;1684
44027;Maltignano;2305
43027;Monte Cavallo;108
42007;Camerata Picena;2525
43039;Pioraco;1001
41057;Sant'Angelo in Vado;3919
41015;Fossombrone;9123
109010;Magliano di Tenna;1424
41066;Urbania;6886
44036;Montefiore dell'Aso;1991
43035;Penna San Giovanni;992
44013;Castorano;2270
109028;Moresco;546
43002;Apiro;2073
44012;Castignano;2639
41035;Monte Grimano Terme;1075
109033;Porto San Giorgio;15715
43049;Sarnano;3080
42008;Castelbellino;4956
44021;Force;1175
43043;Potenza Picena;15652
41021;Isola del Piano;556
42037;Poggio San Marcello;648
43044;Recanati;20865
44011;Castel di Lama;8458
44016;Cossignano;872
43028;Montecosaro;7384
43015;Corridonia;14941
42030;Monte San Vito;6744
42036;Ostra Vetere;3125
43048;Sant'Angelo in Pontano;1285
44029;Massignano;1651
42045;Senigallia;44323
41061;Serra Sant'Abbondio;944
109038;Servigliano;2201
41065;Tavullia;7878
42012;Castelplanio;3465
109008;Grottazzolina;3259
42029;Monte Roberto;3052
43023;Macerata;41079
43021;Gualdo;736
43033;Morrovalle;9979
44002;Acquaviva Picena;3668
44017;Cupra Marittima;5355
109021;Monte Rinaldo;328
43026;Montecassiano;6961
42035;Ostra;6464
43045;Ripe San Ginesio;819
41051;San Costanzo;4583
109007;Francavilla d'Ete;946
41028;Mondavio;3663
44007;Ascoli Piceno;46554
44006;Arquata del Tronto;1040
43057;Visso;1005
44065;Rotella;834
42050;Trecastelli;7467
43005;Bolognola;153
43020;Gagliole;538
43024;Matelica;9364
41029;Mondolfo;14307
42020;Genga;1679
41009;Carpegna;1608
42014;Chiaravalle;14389
41036;Montelabbate;6933
42001;Agugliano;4747
109005;Falerone;3138
44044;Montemonaco;546
109036;Santa Vittoria in Matenano;1246
44023;Grottammare;15960
109016;Monte Giberto;759
109026;Monte Vidon Corrado;678
41067;Urbino;14007
43003;Appignano;4065
41008;Cantiano;2021
43010;Castelsantangelo sul Nera;241
44038;Montegallo;463
42027;Montemarciano;9896
42010;Castelfidardo;18517
43014;Colmurano;1190
42023;Maiolati Spontini;6150
42044;Sassoferrato;6876
42047;Serra San Quirico;2596
41054;San Lorenzo in Campo;3176
41017;Frontino;291
41047;Piandimeleto;2054
109002;Amandola;3355
43022;Loro Piceno;2203
109029;Ortezzano;729
43053;Tolentino;18498
41068;Vallefoglia;14908
41019;Gabicce Mare;5597
109014;Montefalcone Appennino;383
109030;Pedaso;2808
42006;Camerano;7160
44031;Monsampolo del Tronto;4486
44045;Monteprandone;12820
42002;Ancona;99273
42003;Arcevia;4272
109004;Campofilone;1896
44020;Folignano;8916
41026;Mercatino Conca;1008
42024;Mergo;991
43025;Mogliano;4407
109017;Montegiorgio;6479
109020;Montelparo;722
44054;Offida;4770
41041;Peglio;651
109031;Petritoli;2193
42038;Polverigi;4584
109034;Porto Sant'Elpidio;25958
43046;San Ginesio;3149
42041;San Marcello;1983
43055;Urbisaglia;2448
43058;Valfornace;919
43017;Fiastra;642
43040;Poggio San Vicino;221
109039;Smerillo;333
42021;Jesi;39440
109012;Monsampietro Morico;628
44073;Venarotta;1929
41006;Borgo Pace;540
43012;Cingoli;9797
42015;Corinaldo;4848
44064;Roccafluvione;1926
109025;Monte Vidon Combatte;398
41005;Belforte all'Isauro;750
42022;Loreto;12825
42046;Serra de' Conti;3650
44001;Acquasanta Terme;2575
41002;Apecchio;1749
43007;Camerino;6312
42016;Cupramontana;4418
41014;Fermignano;8290
109024;Monte Urano;7971
41033;Montecopiolo;1064
109027;Montottone;895
44066;San Benedetto del Tronto;46976
42042;San Paolo di Jesi;920
41060;Sassofeltrio;1352
44071;Spinetoli;7248
41064;Tavoleto;852
109040;Torre San Patrizio;1919
42004;Barbara;1281
42017;Fabriano;29484
42019;Filottrano;9034
109009;Lapedona;1160
41025;Mercatello sul Metauro;1298
42026;Montecarotto;1845
109019;Monteleone di Fermo;365
41045;Petriano;2768
43036;Petriolo;1868
43042;Porto Recanati;12163
42040;Rosora;1890
42043;Santa Maria Nuova;4048
44015;Comunanza;2981
43004;Belforte del Chienti;1827
41049;Piobbico;1839
41038;Monte Porzio;2801
44034;Montedinove;479
41034;Montefelcino;2517
109018;Montegranaro;12613
109032;Ponzano di Fermo;1646
44005;Appignano del Tronto;1708
43019;Fiuminata;1288
43034;Muccia;849
43052;Serravalle di Chienti;1031
42032;Numana;3741
41027;Mombaroccio;2042
41030;Montecalvo in Foglia;2723
42031;Morro d'Alba;1813
109035;Rapagnano;1945
109001;Altidona;3538
109003;Belmonte Piceno;600
43008;Camporotondo di Fiastrone;511
41010;Cartoceto;7974
43056;Ussita;381
41069;Colli al Metauro;12202
41070;Terre Roveresche;5143
44010;Carassai;985
41001;Acqualagna;4240
42034;Osimo;34826
41007;Cagli;8072
42025;Monsano;3299
42018;Falconara Marittima;25727
43047;San Severino Marche;12009
42049;Staffolo;2112
43041;Pollenza;6350
109022;Monterubbiano;2086
42013;Cerreto d'Esi;3486
109006;Fermo;36168
41020;Gradara;4881
41022;Lunano;1465
41043;Pergola;5849
43009;Castelraimondo;4364
44014;Colli del Tronto;3655
43032;Monte San Martino;697
41044;Pesaro;95950
109023;Monte San Pietrangeli;2315
41048;Pietrarubbia;610
43038;Pieve Torina;1284
41071;Sassocorvaro Auditore;4870
